授信日期,消费分期分数,卡车信贷分数,Y
2015-12-22,0.04370650855883952,0.041029834434954095,0
2016-05-15,0.11512635472937667,0.04480804471477707,0
2016-02-16,0.07076559870623272,0.08011412242122565,0
2016-05-13,0.1445407950207863,0.0478339803736048,0
2016-01-11,0.1831677880204499,0.3605413805025077,0
2015-12-23,0.11947347020236912,0.11545206836081948,0
2015-12-26,0.03227566699581474,0.03132328697207956,0
2015-12-21,0.15140981960382416,0.05105895129626687,0
2016-04-20,0.2534157230423765,0.17293514577099714,0
2016-01-23,0.18004040323677648,0.0897205676936838,0
2015-12-17,0.3600299664437305,0.3339585852666188,1
2016-05-09,0.07126504289286223,0.05744812052389053,0
2016-06-28,0.20571194706205487,0.2274082686563357,0
2015-12-25,0.29806872813690577,0.2586363636363636,1
2016-01-17,0.2116219531630381,0.2305883948268554,0
2015-12-21,0.03122700434722703,0.01524398961251905,0
2016-01-15,0.11509495151668216,0.10546685626935637,0
2015-12-10,0.04888315521310544,0.06890029689769424,0
2015-12-25,0.18181874858296346,0.23209198010460366,0
2015-12-20,0.36327779504876695,0.4071353123523751,1
2015-12-09,0.2919498252219641,0.3250398765630993,0
2016-01-20,0.3477809748233099,0.07879982441401567,0
2016-01-10,0.39513989737960825,0.21907000059532208,1
2016-01-21,0.17213938148081054,0.09068048843015722,0
2016-05-15,0.016113250271966424,0.009991089755293309,0
2016-02-12,0.15335271582371685,0.13493723334270954,0
2015-12-16,0.17817370137113567,0.15434265644443232,0
2016-02-21,0.07855154583084419,0.048010894139524384,0
2016-06-21,0.08488239223985002,0.12467315069013782,0
2015-12-14,0.044177502446230636,0.02560027962945648,0
2015-12-26,0.17976740833133165,0.053600233011953886,0
2016-01-11,0.2554854777896021,0.15469004964467115,0
2015-12-09,0.2235991138516348,0.11781709145029524,0
2015-12-21,0.15062640731526597,0.08707682336431702,0
2016-03-26,0.21818741257894567,0.11337971791684676,0
2016-06-23,0.16748439974339266,0.21878791529934086,0
2015-12-21,0.041554499030912316,0.0362236073237242,0
2016-02-18,0.041361884205681335,0.0400184653207285,0
2016-05-09,0.2092611635252873,0.11851118774967467,0
2015-12-17,0.5687612055290046,0.5919251271326067,1
2015-12-21,0.21648660347900134,0.4562668141679298,0
2016-01-22,0.12927227403308994,0.344802486248572,0
2015-12-16,0.058994165117575485,0.0962202140084783,0
2015-12-18,0.1859406387173844,0.1559355091061593,0
2015-12-18,0.06784740095941028,0.05286832383100923,0
2016-03-19,0.03416163229270289,0.02761112419698249,0
2016-03-09,0.11421482196555972,0.0953171898888084,0
2015-12-22,0.06540751432000669,0.03002360807682204,0
2016-05-27,0.14208273187180304,0.08315707192524771,0
2016-01-22,0.2328962835951503,0.1943116011081691,0
2015-12-12,0.12803865990823676,0.11568218093061065,0
2016-01-17,0.7048907368714447,0.7093312230178345,1
2015-12-09,0.5887087077966168,0.6204895796792903,1
2015-12-21,0.10086209591077216,0.036751474103845334,0
2015-12-11,0.047055683026463166,0.02410889486993155,0
2016-01-13,0.06398929046641104,0.11003805098239244,0
2016-02-18,0.13787145934721518,0.08560681315409298,0
2016-01-10,0.5611391496716142,0.6476666489376949,1
2015-12-25,0.3282049015896415,0.1999429470379388,0
2015-12-21,0.05303026863469231,0.05469664406555328,0
2015-12-18,0.09622805039005997,0.08828567310873152,0
2016-03-09,0.08894123680945293,0.04778703583497346,0
2015-12-20,0.4898531415516058,0.2553512172166653,0
2015-12-22,0.10344245819012657,0.217290436681019,0
2016-05-11,0.09665540517180804,0.07274262873793153,0
2015-12-11,0.2960492984842118,0.055373090269846895,0
2015-12-12,0.3668393672249407,0.4275117604212105,0
2016-02-14,0.07690955296440208,0.0617285523000654,0
2016-05-15,0.19834439459835232,0.14543029908740748,0
2015-12-20,0.07280742857990312,0.08614564035682015,0
2016-03-17,0.1074351940366339,0.0718709689396901,0
2016-01-23,0.3924372551948655,0.5251772849944133,1
2016-06-09,0.08454393516602415,0.0652831990233783,0
2016-01-13,0.095019747648072,0.037251488225833684,0
2015-12-15,0.8228506326834968,0.8103264125288485,1
2016-02-10,0.0919327685470554,0.09336363636363636,0
2016-01-12,0.1593501295427288,0.08326467243308902,0
2015-12-25,0.07962706008634846,0.055351964185643886,0
2015-12-09,0.16101172377764258,0.1095723385843841,0
2016-02-15,0.1391865023625984,0.15226916558627218,0
2016-01-25,0.3067344901724203,0.4524805335127871,0
2015-12-17,0.12291116969118378,0.10080804990506753,0
2016-01-23,0.13238554616306686,0.24286645379544244,0
2015-12-23,0.04850157308370318,0.015023803056227369,0
2015-12-25,0.06023573931467096,0.02825333762422484,0
2016-02-23,0.15709010749780775,0.2373878232584504,0
2015-12-12,0.14023517182800874,0.18132544561653552,0
2015-12-09,0.2290654381855421,0.08110861205597081,0
2016-06-28,0.1796222829974464,0.19202314531568698,0
2015-12-17,0.06756784729257215,0.09894915620556696,0
2015-12-26,0.03914335333817524,0.025,0
2015-12-10,0.2861447760287281,0.32911596126242004,0
2016-02-18,0.3768029324924193,0.39020465364955215,0
2016-02-09,0.6152796090197297,0.7468804445230169,1
2016-02-09,0.10684217206023763,0.08008305834396319,0
2015-12-21,0.2705772850013836,0.2864778105449621,0
2016-02-17,0.03106516438943327,0.10885734025078928,0
2016-01-13,0.027703431541922563,0.08338695088015509,0
2016-06-15,0.071,0.07200000000000001,0
2016-02-27,0.22955759136647946,0.2380670746367223,0
2015-12-17,0.40561637150000973,0.2352714080620248,1
2016-01-18,0.29415129885165586,0.2886867905147005,0
2015-12-10,0.02036377726624555,0.026314645171898618,0
